,Place_Grew_Up,Price_Importance,Brand_Importance,Peer_Importance,Utility_Importance,Track_Expenditures,Expenditure_Graph,Justify_Unexpected_Expense,Unplanned_Purchases,Peer_Influence,Finance_Confidence,Monthly_Spend,Group,Budget_FoodDining,Budget_Travel,Budget_Fashion,Budget_Subscriptions,Budget_Entertainment,Risk_score
22,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,4,3,3,1,Yes,No,No,No,No,4.27
23,🏘️ Small town,Very important,Slightly important,Very important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,4,3,2,9,3,Yes,No,No,No,No,98.93
24,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,I do not keep the track,Irregular and Random Spending,,3,2,5,10,3,Yes,Yes,No,Yes,Yes,98.78
25,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Uniform Daily Expenses,,1,3,5,10,3,Yes,Yes,No,Yes,No,98.93
26,🏢 Medium-sized city,Very important,Not important,Not important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,,4,3,1,2,1,Yes,No,No,No,No,7.81
27,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,I do not keep the track,Irregular and Random Spending,,3,2,5,10,3,Yes,Yes,No,Yes,Yes,98.78
28,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,4,5,4,2,Yes,No,No,No,No,48.46
29,🏙️ Big metro city,Not important,Not important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties.",4,4,3,10,3,No,No,No,Yes,Yes,99.31
30,🌾 Rural area,Slightly important,Not important,Slightly important,Not important,I do not keep the track,Irregular and Random Spending,A 50% discount on a brand I highly value.,2,1,1,2,1,Yes,No,No,No,No,6.57
31,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Not important,I do not keep the track,Spend a lot once and then low spending for rest,,3,2,3,4,2,No,Yes,No,No,No,48.33
32,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,1,1,4,9,3,Yes,Yes,No,No,No,98.76
33,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Not important,I do not keep the track,Spend a lot once and then low spending for rest,,3,2,3,4,2,No,Yes,No,No,No,48.33
34,🏙️ Big metro city,Slightly important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,4,3,10,3,Yes,Yes,Yes,Yes,Yes,99.62
35,🏢 Medium-sized city,Very important,Very important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A planned trip with friends.,1,1,4,2,1,Yes,Yes,No,No,No,5.31
36,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,1,4,5,3,1,Yes,Yes,No,No,Yes,6.74
37,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,4,5,4,2,Yes,No,No,No,No,48.46
38,🏘️ Small town,Slightly important,Slightly important,Very important,Not important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,,2,2,5,1,1,No,Yes,No,No,No,3.85
39,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,,3,2,4,5,2,Yes,No,No,No,No,48.21
40,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,I do not keep the track,Irregular and Random Spending,,4,2,5,10,3,Yes,Yes,No,Yes,Yes,99.05
41,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A planned trip with friends.,2,3,4,4,2,No,Yes,No,Yes,Yes,48.45
42,🌾 Rural area,Very important,Slightly important,Very important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A 50% discount on a brand I highly value.,3,3,4,4,2,Yes,No,Yes,No,No,48.63
43,🌾 Rural area,Slightly important,Slightly important,Slightly important,Very important,I do not keep the track,Irregular and Random Spending,A planned trip with friends.,1,1,5,1,1,Yes,No,No,No,No,7.28
44,🌾 Rural area,Very important,Slightly important,Slightly important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,A planned trip with friends.,2,2,4,3,1,Yes,Yes,No,No,No,3.55
45,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,1,2,3,10,3,Yes,No,Yes,No,No,98.69
46,🏢 Medium-sized city,Very important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,,1,2,3,1,1,Yes,No,No,No,No,5.51
47,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,A 50% discount on a brand I highly value.,4,1,4,3,1,Yes,No,Yes,No,Yes,7.98
48,🏢 Medium-sized city,Slightly important,Slightly important,Very important,Very important,I do not keep the track,Irregular and Random Spending,Social celebrations or parties.,5,5,5,9,3,Yes,Yes,Yes,No,Yes,99.82
49,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,,3,4,3,5,2,Yes,No,No,No,Yes,48.52
50,🏘️ Small town,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,,1,3,4,1,1,Yes,Yes,Yes,Yes,Yes,6.82
51,🏘️ Small town,Slightly important,Not important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,,2,2,5,5,2,Yes,No,Yes,No,No,48.43
52,🏢 Medium-sized city,Very important,Very important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,,3,3,4,3,1,No,Yes,No,No,No,3.84
53,🌾 Rural area,Very important,Slightly important,Not important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,,2,2,4,1,1,No,No,Yes,No,No,4.09
54,🌾 Rural area,Very important,Slightly important,Very important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,A 50% discount on a brand I highly value.,3,3,4,4,2,Yes,No,Yes,No,No,48.63
55,🏢 Medium-sized city,Slightly important,Slightly important,Very important,Very important,I do not keep the track,Irregular and Random Spending,Social celebrations or parties.,5,5,5,9,3,Yes,Yes,Yes,No,Yes,99.82
56,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,2,8,3,Yes,Yes,Yes,Yes,No,98.93
57,🏢 Medium-sized city,Very important,Slightly important,Not important,Slightly important,I do not keep the track,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",4,2,2,6,2,Yes,Yes,No,No,No,48.88
58,🌾 Rural area,Slightly important,Slightly important,Slightly important,Not important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,2,2,2,3,1,Yes,No,No,No,No,4.64
59,🏢 Medium-sized city,Slightly important,Slightly important,Very important,Very important,I do not keep the track,Spend a lot once and then low spending for rest,Social celebrations or parties.,2,2,5,2,1,Yes,No,Yes,No,No,5.15
60,🏢 Medium-sized city,Very important,Slightly important,Not important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,,2,2,3,2,1,Yes,No,No,Yes,Yes,4.27
61,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,,3,1,2,2,1,Yes,Yes,No,No,No,4.09
62,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A planned trip with friends.,4,3,3,3,1,Yes,No,No,No,Yes,6.88
63,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",3,4,3,2,1,Yes,No,Yes,No,Yes,4.46
64,🏘️ Small town,Slightly important,Not important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,,2,1,5,5,2,Yes,No,Yes,No,No,48.53
65,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,,1,3,5,3,1,Yes,Yes,No,No,No,5.48
66,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,2,8,3,Yes,Yes,Yes,Yes,No,98.93
67,🏘️ Small town,Very important,Slightly important,Very important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,1,2,3,1,Yes,Yes,Yes,No,No,6.87
68,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Slightly important,I do not keep the track,Irregular and Random Spending,,4,2,5,10,3,Yes,Yes,No,Yes,Yes,99.05
69,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,3,8,3,Yes,Yes,Yes,Yes,No,98.91
70,🏢 Medium-sized city,Very important,Slightly important,Very important,Very important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,"Social celebrations or parties., A planned trip with friends.",2,2,3,6,2,Yes,No,No,No,Yes,48.16
71,🏢 Medium-sized city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,4,4,10,3,Yes,Yes,Yes,Yes,Yes,99.58
72,🏢 Medium-sized city,Very important,Very important,Very important,Not important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,5,1,10,3,Yes,Yes,Yes,Yes,Yes,99.86
73,🏙️ Big metro city,Very important,Slightly important,Slightly important,Very important,I do not keep the track,Irregular and Random Spending,,3,4,3,4,2,Yes,No,No,No,No,48.57
74,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,I do not keep the track,Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties.",4,3,2,6,2,Yes,No,Yes,No,No,49.03
75,🏙️ Big metro city,Very important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A planned trip with friends.,4,5,3,7,3,Yes,No,No,No,No,99.15
76,🏙️ Big metro city,Very important,Slightly important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,A planned trip with friends.,4,2,4,4,2,Yes,No,Yes,No,No,48.95
77,🏘️ Small town,Very important,Not important,Very important,Slightly important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,,2,2,5,3,1,Yes,No,Yes,No,Yes,3.75
78,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,2,1,3,8,3,Yes,Yes,No,No,No,98.61
79,🏙️ Big metro city,Not important,Very important,Very important,Slightly important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,Social celebrations or parties.,5,5,3,10,3,No,Yes,Yes,Yes,No,99.97
80,🏢 Medium-sized city,Very important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A 50% discount on a brand I highly value.,4,2,5,6,2,No,No,Yes,No,No,48.89
81,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,4,2,8,3,Yes,Yes,Yes,Yes,No,99.03
82,🏢 Medium-sized city,Very important,Slightly important,Not important,Slightly important,I do not keep the track,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",4,2,2,6,2,Yes,Yes,No,No,No,48.88
83,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,4,5,4,9,3,Yes,No,Yes,Yes,Yes,99.28
84,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,"Social celebrations or parties., A planned trip with friends.",3,5,3,4,2,Yes,Yes,Yes,Yes,Yes,49.05
85,🏘️ Small town,Very important,Slightly important,Not important,Not important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,3,2,2,3,1,Yes,Yes,No,No,No,3.83
86,🏙️ Big metro city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",4,4,3,9,3,Yes,Yes,Yes,Yes,Yes,99.12
87,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,2,3,5,2,Yes,No,No,No,No,48.18
88,🏘️ Small town,Slightly important,Not important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Uniform Daily Expenses,,1,1,5,5,2,Yes,No,Yes,No,No,48.89
89,🏢 Medium-sized city,Very important,Slightly important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,,2,2,5,3,1,Yes,Yes,Yes,No,No,2.69
90,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Not important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,3,2,3,1,Yes,Yes,No,No,No,2.91
91,🏢 Medium-sized city,Slightly important,Very important,Very important,Very important,I check my bank balance occasionally.,Uniform Daily Expenses,A planned trip with friends.,2,3,5,8,3,Yes,No,No,No,Yes,98.63
92,🏘️ Small town,Very important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",1,1,3,3,1,Yes,Yes,No,No,No,7.68
93,🌾 Rural area,Very important,Not important,Not important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., A planned trip with friends.",3,1,5,4,2,Yes,No,Yes,No,No,49.09
94,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I do not keep the track,Uniform Daily Expenses,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",2,2,1,10,3,Yes,No,No,No,No,98.67
95,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,2,2,5,2,1,Yes,Yes,No,No,No,1.87
96,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,1,1,4,9,3,Yes,Yes,No,No,No,98.76
97,🏢 Medium-sized city,Slightly important,Slightly important,Very important,Very important,I do not keep the track,Irregular and Random Spending,Social celebrations or parties.,5,5,5,9,3,Yes,Yes,Yes,No,Yes,99.82
98,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,4,3,8,3,Yes,Yes,Yes,Yes,No,99.0
99,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,4,5,4,9,3,Yes,No,Yes,Yes,Yes,99.28
100,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Not important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,,2,2,4,2,1,Yes,No,No,No,No,1.0
101,🏘️ Small town,Very important,Slightly important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Spend a lot once and then low spending for rest,,3,3,4,2,1,Yes,Yes,No,No,No,3.62
102,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,2,2,4,9,3,Yes,Yes,No,No,No,98.53
103,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,2,3,4,3,1,Yes,Yes,Yes,Yes,Yes,4.52
104,🏘️ Small town,Very important,Slightly important,Slightly important,Very important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,"Social celebrations or parties., A planned trip with friends.",3,4,4,4,2,Yes,Yes,Yes,Yes,Yes,48.73
105,🏢 Medium-sized city,Very important,Very important,Very important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,4,4,10,3,Yes,Yes,Yes,Yes,Yes,99.58
106,🏢 Medium-sized city,Very important,Slightly important,Very important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,2,4,3,3,1,Yes,Yes,No,No,Yes,3.76
107,🏙️ Big metro city,Very important,Very important,Slightly important,Very important,I check my bank balance occasionally.,Uniform Daily Expenses,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,4,5,2,Yes,No,Yes,Yes,Yes,49.06
108,🏢 Medium-sized city,Slightly important,Slightly important,Slightly important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,Social celebrations or parties.,3,3,3,6,2,Yes,No,No,No,Yes,48.52
109,🏢 Medium-sized city,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,2,8,3,Yes,Yes,Yes,Yes,No,98.93
110,🏢 Medium-sized city,Very important,Very important,Very important,Not important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",3,4,1,10,3,Yes,Yes,Yes,Yes,Yes,98.93
111,🌾 Rural area,Very important,Very important,Very important,Very important,I use a dedicated expense-tracking app or spreadsheet.,Spend a lot once and then low spending for rest,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,5,5,10,3,Yes,Yes,Yes,Yes,Yes,99.91
112,🏢 Medium-sized city,Slightly important,Very important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,,3,4,5,4,2,Yes,No,No,No,No,48.53
113,🏢 Medium-sized city,Slightly important,Very important,Slightly important,Not important,I do not keep the track,Irregular and Random Spending,A 50% discount on a brand I highly value.,2,2,5,2,1,Yes,Yes,No,No,Yes,3.13
114,🏘️ Small town,Slightly important,Slightly important,Very important,Slightly important,I check my bank balance occasionally.,Irregular and Random Spending,A 50% discount on a brand I highly value.,2,2,4,2,1,Yes,No,No,No,No,2.93
115,🏢 Medium-sized city,Very important,Very important,Very important,Not important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,5,1,10,3,Yes,Yes,Yes,Yes,Yes,99.86
116,🏘️ Small town,Very important,Slightly important,Slightly important,Slightly important,I do not keep the track,Irregular and Random Spending,"A 50% discount on a brand I highly value., A planned trip with friends.",2,3,3,3,1,Yes,Yes,No,No,No,5.63
117,🏢 Medium-sized city,Very important,Slightly important,Not important,Slightly important,I do not keep the track,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",4,2,2,6,2,Yes,Yes,No,No,No,48.88
118,🏙️ Big metro city,Not important,Very important,Very important,Slightly important,I check my bank balance occasionally.,Steady Weekdays with High Weekends,Social celebrations or parties.,5,5,3,10,3,No,Yes,Yes,Yes,No,99.97
119,🏘️ Small town,Very important,Very important,Slightly important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,,4,3,5,4,2,Yes,No,No,No,No,48.89
120,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Very important,I do not keep the track,Spend a lot once and then low spending for rest,,3,1,3,2,1,Yes,Yes,Yes,No,No,4.22
121,🏢 Medium-sized city,Very important,Slightly important,Not important,Slightly important,I do not keep the track,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",4,3,2,6,2,Yes,Yes,No,No,No,48.93
122,🏙️ Big metro city,Not important,Very important,Not important,Not important,I do not keep the track,Irregular and Random Spending,"Social celebrations or parties., A planned trip with friends.",5,1,5,10,3,Yes,Yes,Yes,No,No,99.54
123,🏙️ Big metro city,Very important,Very important,Very important,Very important,I check my bank balance occasionally.,Irregular and Random Spending,"A 50% discount on a brand I highly value., Social celebrations or parties., A planned trip with friends.",5,3,5,5,2,Yes,Yes,Yes,Yes,Yes,50.16
124,🏢 Medium-sized city,Slightly important,Slightly important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Irregular and Random Spending,A 50% discount on a brand I highly value.,2,1,3,8,3,Yes,Yes,No,No,No,98.61
125,🏢 Medium-sized city,Slightly important,Very important,Not important,Very important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,"A 50% discount on a brand I highly value., A planned trip with friends.",3,3,3,5,2,Yes,No,No,No,Yes,48.68
126,🏢 Medium-sized city,Very important,Slightly important,Slightly important,Slightly important,"I review my history within payment apps (e.g., UPI, Paytm).",Steady Weekdays with High Weekends,A planned trip with friends.,3,3,4,5,2,Yes,No,No,No,No,48.22
